nname,mins,club_yc90,club_g90,club_a90
alexander bernhardsson,1444,0.187,0.5609,0.187
alexander busch,852,0.1056,0.1056,0.0
alexander callens,1726,0.2086,0.0521,0.0
alexander djiku,5847,0.3232,0.0462,0.0308
alexander isak,5618,0.032,0.6889,0.1442
alexander jensen,3249,0.0831,0.0277,0.0554
alexander jeremejeff,2141,0.2522,0.6726,0.1261
alexander lind,2250,0.24,0.24,0.16
alexander lyng,2040,0.0441,0.2647,0.0441
alexander meyer,1035,0.0,0.0,0.0
alexander nubel,9960,0.009,0.0,0.0271
alexander prass,3441,0.1308,0.0785,0.1046
alexander rssing lelesiit,491,0.0,0.0,0.1833
alexander satariano,480,0.1875,0.0,0.0
alexander schlager,1326,0.0,0.0,0.0679
alexander schwolow,3135,0.0,0.0,0.0
alexander simmelhack,637,0.1413,0.4239,0.2826
alexander srloth,6677,0.1752,0.8357,0.0944
alexandre jesus,770,0.0,0.3506,0.1169
alexandre lacazette,3784,0.2141,0.7373,0.1427
alexandre oukidja,1530,0.1176,0.0,0.0
alexandre penetra,8579,0.1154,0.021,0.021
alexandro calut,604,0.149,0.0,0.0
alexandros anagnostopoulos,2160,0.125,0.0,0.0
alexandros kyziridis,2605,0.1727,0.1382,0.2764
alexandros malis,878,0.41,0.0,0.0
alexandros maskanakis,588,0.0,0.1531,0.1531
alexandros paschalakis,1920,0.0938,0.0,0.0
alexandros tsompanidis,498,0.0,0.0,0.0
alexandru baluta,825,0.4364,0.2182,0.1091
alexandru cicaldau,1331,0.0676,0.2029,0.0
alexandru matan,2271,0.0793,0.1585,0.1189
alexandru maxim,6869,0.2489,0.1703,0.2751
alexandru pantea,661,0.1362,0.0,0.1362
alexei koselev,2250,0.04,0.0,0.04
alexios kalogeropoulos,3523,0.2555,0.0511,0.0
alexis antunes,1032,0.2616,0.1744,0.1744
alexis blin,1154,0.234,0.0,0.0
alexis cantero,528,0.3409,0.0,0.0
alexis claude maurice,4854,0.1483,0.2781,0.1298
alexis duarte,2949,0.2442,0.0,0.0305
alexis flips,720,0.25,0.0,0.125
alexis mac allister,9384,0.2494,0.1726,0.163
alexis saelemaekers,6140,0.2052,0.2052,0.2199
alexis sanchez,2523,0.107,0.214,0.2497
alexis trouillet,452,0.0,0.0,0.0
alexis vossah,1093,0.4117,0.0823,0.0823
alexsandro,5543,0.2436,0.0162,0.0325
alfie agyeman,537,0.0,0.0,0.0
