nname,mins,club_yc90,club_g90,club_a90
juma bah,4299,0.2512,0.0,0.0
juninho,6914,0.1822,0.1172,0.1041
juninho bacuna,923,0.195,0.0,0.195
junior adamu,2871,0.1881,0.2194,0.1254
junior alonso,990,0.2727,0.0,0.0909
junior brumado,2022,0.5341,0.7122,0.089
junior diaz,1560,0.2308,0.0,0.0577
junior dina ebimbe,2764,0.2605,0.2931,0.1302
junior firpo,1000,0.27,0.0,0.18
junior hoilett,1956,0.138,0.184,0.2761
junior kadile,2517,0.2145,0.1788,0.1073
junior kroupi,2159,0.2084,0.5836,0.0417
junior mendieta,1610,0.4472,0.2236,0.1118
junior messias,2460,0.0732,0.1829,0.0732
junior mwanga,3748,0.1441,0.048,0.072
junior olaitan,2103,0.0856,0.1712,0.0856
junior pius,1158,0.4663,0.0,0.0
junior sambia,1825,0.2466,0.0493,0.0986
junnosuke suzuki,2073,0.1302,0.0434,0.0434
junya ito,5441,0.1158,0.1654,0.1654
jure balkovec,3412,0.2638,0.1055,0.0528
jurgen ekkelenkamp,5057,0.0534,0.178,0.1068
juri cisotti,1009,0.2676,0.2676,0.6244
jurien gaari,899,0.4004,0.1001,0.0
jurrien timber,6707,0.2147,0.0805,0.1476
jusef erabi,762,0.2362,0.2362,0.0
justin bijlow,2894,0.0622,0.0,0.0
justin cuero,578,0.3114,0.3114,0.4671
justin de haas,6308,0.2425,0.0999,0.0
justin devenny,1609,0.0559,0.1678,0.0559
justin hoogma,1827,0.197,0.1478,0.0
justin hubner,1580,0.3987,0.1139,0.057
justin janssen,1112,0.4856,0.2428,0.1619
justin kluivert,4828,0.3542,0.3915,0.1678
justin lonwijk,3112,0.2892,0.2603,0.0868
justin njinmah,3774,0.1192,0.2623,0.0954
kaan ayhan,4223,0.2771,0.0639,0.1279
kaan kairinen,1497,0.0601,0.1804,0.0
kacper kostorz,553,0.1627,0.4882,0.0
kacper kozlowski,6068,0.2521,0.1928,0.1483
kacper opata,2455,0.2566,0.0,0.0367
kacper potulski,1060,0.2547,0.0849,0.0849
kacper tobiasz,1200,0.225,0.0,0.0
kacper trelowski,540,0.0,0.0,0.0
kacper urbanski,1724,0.2088,0.0522,0.0522
kader meite,1067,0.0,0.4217,0.1687
kady borges,685,0.2628,0.0,0.2628
kahveh zahiroleslam,1848,0.1461,0.3409,0.0974
kai andrews,979,0.0919,0.0919,0.0919
kai cipot,2625,0.2057,0.1029,0.0
kai fotheringham,566,0.0,0.0,0.0
kai havertz,5471,0.2632,0.4606,0.2632
kail boudache,587,0.3066,0.1533,0.0
kaio,1994,0.2257,0.0451,0.0
kaio cesar,2245,0.2806,0.1203,0.1604
kaio jorge,510,0.1765,0.3529,0.0
kaique pereira,3060,0.1176,0.0,0.0
kaique rocha,497,0.0,0.1811,0.0
kaishu sano,6674,0.0539,0.0135,0.0405
kaj de rooij,2617,0.2751,0.3095,0.2063
kaj sierhuis,4149,0.1735,0.4989,0.1302
kalidou koulibaly,844,0.4265,0.1066,0.1066
kalvin ketu,1781,0.1011,0.1011,0.3032
kalvin phillips,1791,0.4523,0.0503,0.0
kaly,993,0.5438,0.0,0.0
kamal sowah,4107,0.1534,0.0219,0.0219
kamaldeen sulemana,2904,0.2169,0.155,0.124
kamiel van de perre,2860,0.4091,0.0,0.0944
kamil ahmet corekci,3575,0.3776,0.0,0.0503
kamil grabara,6666,0.0405,0.0,0.0
kamil jozwiak,573,0.3141,0.0,0.1571
kamil piatkowski,2401,0.1874,0.0,0.075
kamory doumbia,4222,0.1705,0.1919,0.1919
kanayo megwa,864,0.1042,0.0,0.0
kang in lee,4964,0.0725,0.2538,0.2538
kanya fujimoto,3329,0.027,0.1622,0.2163
kaoru mitoma,4879,0.1107,0.2582,0.0922
karamba gassama,915,0.0,0.0,0.0984
kareem tunde,1143,0.2362,0.0,0.0787
karel pojezny,630,0.1429,0.0,0.0
karel spacil,865,0.104,0.3121,0.0
karim adeyemi,5185,0.2951,0.4339,0.2951
karim coulibaly,2122,0.1272,0.0424,0.0
karim onisiwo,1231,0.0731,0.2193,0.0
karl andre vallner,600,0.15,0.0,0.0
karl darlow,2160,0.0417,0.0,0.0
karl etta eyong,1852,0.1944,0.4374,0.1944
karl hein,3015,0.0,0.0,0.0
karlo letica,540,0.0,0.0,0.0
karlo muhar,551,0.1633,0.49,0.1633
karol angielski,1352,0.0,0.5991,0.0666
karol linetty,4324,0.4163,0.0208,0.0833
karol mets,3314,0.1629,0.0272,0.0
karol swiderski,2810,0.3203,0.3843,0.1601
kartal ylmaz,4990,0.3427,0.0541,0.1804
kasey mcateer,1168,0.2312,0.0771,0.0771
kasper boogaard,823,0.1094,0.0,0.2187
kasper davidsen,1366,0.3294,0.0,0.1318
kasper dolberg,4772,0.132,0.5281,0.1132
kasper hgh,1097,0.1641,0.4923,0.2461
kasper jrgensen,2194,0.1231,0.082,0.082
kasper schmeichel,8160,0.0441,0.0,0.0
kassoum ouattara,2281,0.3157,0.0395,0.1578
kaua elias,1796,0.0501,0.5011,0.2506
kaua santos,2570,0.035,0.0,0.0
kay tejan,926,0.486,0.3888,0.1944
kaya makosso,527,0.0,0.0,0.1708
kayne van oevelen,3031,0.0594,0.0,0.0
kazeem olaigbe,3709,0.0485,0.1456,0.0728
kazmcan karatas,3419,0.2369,0.0263,0.1316
kazu,586,0.3072,0.0,0.0
keane lewis potter,6582,0.1367,0.1094,0.1231
keano vanrafelghem,588,0.3061,0.4592,0.0
keanu baccus,1663,0.3788,0.0541,0.0541
keelan adams,2012,0.1789,0.0,0.0447
kees smit,4262,0.2534,0.1478,0.1689
keinan davis,3456,0.2604,0.3646,0.1302
keisuke goto,2258,0.1594,0.4783,0.1993
keita balde,1076,0.5855,0.2509,0.0
keito nakamura,3379,0.1332,0.3463,0.0533
keke topp,946,0.4757,0.5708,0.2854
kelechi iheanacho,1265,0.1423,0.7115,0.0
kelechi nwakali,1011,0.089,0.089,0.089
kelian nsona,480,0.0,0.1875,0.1875
kelle roos,3030,0.0297,0.0,0.0
kelliano,2617,0.3439,0.0688,0.0688
kelvin amian,4925,0.1827,0.0183,0.0365
kelvin john,871,0.1033,0.2067,0.1033
kelvin leerdam,875,0.0,0.0,0.2057
kelvin yeboah,522,0.0,0.6897,0.1724
ken nkuba,1456,0.3091,0.0618,0.0618
kenan bilalovic,599,0.1503,0.4508,0.0
kenan busuladzic,532,0.5075,0.0,0.1692
kenan kodro,742,0.2426,0.2426,0.1213
kenan piric,2700,0.0333,0.0,0.0333
kenan yldz,8143,0.0995,0.2874,0.221
kenneth omeruo,797,0.3388,0.0,0.0
kenneth paal,2882,0.1249,0.0,0.0
kenneth taylor,8698,0.2069,0.2483,0.1759
kenneth vargas,2466,0.1825,0.365,0.146
kenny lala,7637,0.1768,0.0471,0.0707
kenny tete,4113,0.1532,0.0219,0.0438
kento shiogai,1509,0.2386,0.8946,0.0596
kenzo goudmijn,2958,0.0913,0.0304,0.0609
kepa arrizabalaga,4674,0.0963,0.0,0.0
kerem akturkoglu,7809,0.1383,0.4495,0.2766
kerem demirbay,4679,0.1923,0.1539,0.1346
kerim alc,1611,0.1117,0.0559,0.0559
kerim mrabti,4389,0.2051,0.2256,0.1435
kervin arriaga,2010,0.403,0.1343,0.1343
keven schlotterbeck,5152,0.2271,0.1223,0.0873
kevin,5564,0.2103,0.3235,0.2265
kevin akpoguma,3653,0.1725,0.0,0.0
kevin andrade,4190,0.3437,0.043,0.0
kevin behrens,1186,0.3794,0.1518,0.2277
kevin boma,4193,0.2576,0.0429,0.0215
kevin carlos,1446,0.1867,0.1245,0.0622
kevin castano,1759,0.307,0.0512,0.2047
kevin chamorro,630,0.0,0.0,0.0
kevin danois,4298,0.0838,0.0628,0.0209
kevin danso,5932,0.2731,0.0152,0.0
kevin de bruyne,5452,0.1156,0.2806,0.4787
kevin denkey,2522,0.2141,0.678,0.0714
kevin diks,5577,0.1775,0.1775,0.0484
kevin felida,878,0.205,0.1025,0.0
kevin gameiro,618,0.0,0.2913,0.1456
kevin holt,1997,0.1352,0.0901,0.0451
kevin hoog jansson,814,0.3317,0.0,0.0
kevin kampl,2621,0.206,0.0343,0.0
kevin keben,464,0.194,0.0,0.0
kevin lasagna,598,0.301,0.301,0.1505
kevin lenini,4643,0.3489,0.1163,0.0194
kevin mac allister,6500,0.3738,0.0969,0.0277
kevin mbabu,4895,0.2758,0.0184,0.0919
kevin mohwald,550,0.1636,0.0,0.0
kevin mouanga,496,0.3629,0.0,0.0
kevin muller,4740,0.0,0.0,0.0
kevin n'doram,851,0.3173,0.0,0.1058
kevin nisbet,4126,0.1527,0.4581,0.1309
kevin paredes,1371,0.3282,0.1313,0.0656
kevin rodrigues,4571,0.2953,0.0591,0.0788
kevin rodriguez,2832,0.0953,0.3178,0.1271
kevin rosero,725,0.2483,0.1241,0.1241
kevin schade,5576,0.1453,0.3228,0.1291
kevin sessa,794,0.1134,0.3401,0.0
kevin stoger,4778,0.1695,0.1319,0.2637
kevin strootman,588,0.3061,0.0,0.0
kevin trapp,6705,0.0805,0.0,0.0
kevin van den kerkhof,2383,0.1511,0.0755,0.0378
kevin vogt,2862,0.3459,0.0314,0.0
kevin volland,921,0.3909,0.0977,0.1954
kevin yakob,1249,0.0721,0.2162,0.2162
kewin,3947,0.114,0.0,0.0
khadim rassoul,549,0.3279,0.0,0.0
khalil fayad,1374,0.3275,0.0655,0.0
khalis merah,1541,0.1168,0.0584,0.1168
khellven,3030,0.1782,0.1188,0.2673
khephren thuram,7671,0.1525,0.1173,0.1643
khetag khosonov,3228,0.1394,0.0279,0.1673
khoren bayramyan,2898,0.2795,0.0311,0.1242
khusniddin alikulov,3975,0.317,0.0679,0.0226
khvicha kvaratskhelia,7891,0.1141,0.422,0.2737
khyzyr appaev,1314,0.274,0.0,0.0
ki jana hoever,2714,0.1658,0.0332,0.0663
kian fitz jim,2998,0.2402,0.2101,0.06
kian hansen,1461,0.1848,0.0,0.0
kieran dowell,577,0.156,0.0,0.0
kieran o'hara,1691,0.0532,0.0,0.0
kieran phillips,679,0.0,0.2651,0.1325
kieran tierney,4464,0.0403,0.121,0.1815
kieran trippier,5070,0.1243,0.0178,0.1775
kiernan dewsbury hall,3329,0.2163,0.2433,0.1892
kieron bowie,4001,0.09,0.4049,0.135
kikas,3047,0.1477,0.3249,0.0591
kike barja,1220,0.6639,0.2213,0.2213
kike garcia,5271,0.1707,0.4439,0.0512
kike perez,2852,0.4418,0.1578,0.0631
kike salas,6022,0.2092,0.1046,0.0299
kike saverio,1944,0.1852,0.2778,0.1389
kiki,3359,0.2679,0.0268,0.0536
kiki kouyate,2648,0.4418,0.034,0.0
kiko,2156,0.2505,0.0417,0.0
kiko bondoso,3977,0.0226,0.0453,0.1132
kiko femenia,5774,0.265,0.0156,0.0468
kilian fischer,3833,0.1878,0.0235,0.0235
kiliann sildillia,3403,0.1851,0.1058,0.1322
killian phillips,6341,0.1987,0.0994,0.0142
killian sardella,4510,0.1996,0.0,0.0599
kingsley coman,2393,0.0752,0.3385,0.2257
kingsley ehizibue,5501,0.229,0.0327,0.0327
kingsley schindler,1833,0.0982,0.0982,0.0982
kirian rodriguez,3651,0.1233,0.074,0.0986
kiril despodov,4321,0.1666,0.3957,0.4166
kiril fesyun,2019,0.0,0.0,0.0
kiril popov,1690,0.1598,0.0533,0.1598
kirill bozhenov,1117,0.6446,0.0,0.0
kirill danilin,1724,0.2088,0.0522,0.0522
kirill danilov,1051,0.1713,0.0,0.0
kirill glebov,3002,0.2398,0.3298,0.2099
kirill glushchenkov,683,0.1318,0.0,0.0
kirill gotsuk,2670,0.1011,0.1011,0.0337
kirill kaplenko,1184,0.152,0.152,0.0
kirill kravtsov,2181,0.2476,0.2063,0.0
kirill pechenin,4801,0.1875,0.0562,0.1125
kirill shchetinin,5947,0.2119,0.0908,0.1967
kirill zaika,2522,0.3569,0.0357,0.0714
kirill zinovich,1351,0.3997,0.0666,0.0
kjell scherpen,2655,0.0339,0.0,0.0
kjetil haug,527,0.0,0.0,0.0
klaus gjasula,733,0.6139,0.0,0.0
klayver,1803,0.1997,0.1498,0.0499
klidman lilo,994,0.1811,0.0,0.0
klim prykhodko,754,0.2387,0.1194,0.1194
klisman cake,1847,0.1462,0.0487,0.0487
ko itakura,5926,0.1974,0.0911,0.0152
koba koindredi,776,0.0,0.0,0.0
kobamelo kodisang,798,0.0,0.0,0.0
kobbie mainoo,5754,0.2033,0.1251,0.0782
kobe cools,3954,0.1366,0.0,0.0228
kobe corbanie,1204,0.1495,0.0748,0.0
kodai sano,7613,0.13,0.1182,0.1537
koen casteels,1080,0.0833,0.0,0.0
koen kostons,3325,0.0812,0.3248,0.1895
koen van langendonck,900,0.0,0.0,0.0
koffi djidji,696,0.1293,0.0,0.0
koffi kouao,2455,0.3666,0.0733,0.1466
kofi balmer,1599,0.1689,0.0,0.0563
koji miyoshi,488,0.0,0.1844,0.0
kojo peprah oppong,2925,0.1538,0.0308,0.0
koke,8726,0.196,0.0309,0.0928
koki machida,3425,0.2628,0.0,0.0
koki ogawa,4728,0.0381,0.514,0.1142
koki saito,1311,0.0,0.0686,0.2746
kolbeinn finnsson,1184,0.076,0.0,0.0
konan ndri,2550,0.1765,0.1765,0.0706
koni de winter,5620,0.2082,0.0641,0.016
konrad laimer,7350,0.3551,0.0735,0.2327
konrad michalak,1380,0.0652,0.1304,0.1957
konstantin kuchaev,4365,0.1237,0.0619,0.0619
konstantin maradishvili,1242,0.2174,0.0,0.0
konstantin nizhegorodov,2139,0.1262,0.0421,0.0
konstantin savichev,2268,0.4365,0.0397,0.0397
konstantin tyukavin,4858,0.0741,0.5373,0.2408
konstantinos apostolakis,699,0.515,0.0,0.1288
konstantinos fortounis,768,0.2344,0.1172,0.2344
konstantinos galanopoulos,1156,0.2336,0.0,0.0
konstantinos goumas,750,0.6,0.12,0.24
konstantinos karetsas,3939,0.1142,0.0914,0.4113
konstantinos kostoulas,1981,0.2272,0.0,0.0454
konstantinos kotsaris,585,0.0,0.0,0.0
konstantinos koulierakis,6716,0.1742,0.0938,0.0536
konstantinos laifis,900,0.2,0.1,0.0
konstantinos manolas,492,0.0,0.0,0.0
konstantinos mavropanos,6564,0.1234,0.0411,0.0
konstantinos plegas,468,0.1923,0.0,0.0
konstantinos pomonis,1372,0.5248,0.0,0.0
konstantinos roukounakis,591,0.3046,0.1523,0.0
konstantinos stamoulis,2589,0.1043,0.0348,0.0
konstantinos thymianis,1197,0.3008,0.1504,0.0
konstantinos triantafyllopoulos,3692,0.195,0.0244,0.0244
konstantinos tsimikas,2752,0.1635,0.0,0.1308
konstantinos tzolakis,6659,0.0135,0.0,0.0
koray gunter,2443,0.2947,0.0737,0.0
korede osundina,938,0.0959,0.1919,0.0
kornelius normann,2759,0.0326,0.1957,0.0979
kosta aleksic,2066,0.2614,0.2614,0.0436
kosta nedeljkovic,1013,0.0888,0.0,0.0
kostas pileas,1471,0.1224,0.0,0.0612
kostyantyn bychek,1815,0.0496,0.0992,0.0496
kostyantyn vivcharenko,5230,0.1377,0.0172,0.1377
kosuke nakamura,1620,0.0556,0.0,0.0
krepin diatta,3014,0.2389,0.0,0.1493
kresimir krizmanic,2693,0.1671,0.0,0.0334
krisjanis zviedris,540,0.0,0.0,0.0
kristall mani ingason,2310,0.1558,0.3506,0.2338
kristers tobers,886,0.3047,0.0,0.0
kristian arnstad,3968,0.2949,0.2268,0.1361
kristian bilovar,3777,0.143,0.0,0.0
kristian eriksen,568,0.1585,0.3169,0.3169
kristian hlynsson,5373,0.0335,0.3015,0.134
kristian kirkegaard,1356,0.3319,0.1327,0.0664
kristian thorstvedt,3946,0.2965,0.1597,0.114
kristijan belic,1827,0.6897,0.0493,0.0493
kristijan bistrovic,3705,0.1457,0.0972,0.0243
kristijan jakic,5471,0.2139,0.0658,0.0494
kristijan trapanovski,1951,0.2768,0.1384,0.1845
kristjan asllani,4587,0.2943,0.1177,0.1373
kristoffer ajer,4749,0.1895,0.0379,0.0379
kristoffer askildsen,1020,0.3529,0.0,0.1765
kristoffer lund,2396,0.0751,0.0,0.0751
kristoffer peterson,4352,0.1654,0.2275,0.1448
kristoffer velde,1585,0.1703,0.2271,0.1136
krisztian keresztes,3168,0.2557,0.0852,0.0284
krzysztof piatek,4589,0.1765,0.706,0.0588
kubilay kanatszkus,1424,0.1896,0.316,0.1264
kurban rasulov,1260,0.1429,0.0,0.0
kurt zouma,1965,0.0916,0.0916,0.0
kuryu matsuki,1020,0.4412,0.1765,0.3529
kwasi sibo,1806,0.1495,0.0,0.0
kyan vaesen,2412,0.1866,0.2612,0.1119
kye rowles,2741,0.1313,0.0,0.0
kyle cameron,1138,0.0,0.0,0.0
kyle magennis,496,0.7258,0.0,0.0
kyle vassell,3040,0.1184,0.2072,0.1776
kyle walker,6952,0.1812,0.0,0.0647
kyle walker peters,4932,0.1642,0.0182,0.0547
kylian mbappe,9761,0.1199,0.922,0.1475
kyogo furuhashi,3214,0.0,0.532,0.14
kyrell wilson,1455,0.1856,0.1237,0.0619
kyriakos aslanidis,1021,0.4407,0.0,0.0
kyriakos kivrakidis,551,0.1633,0.0,0.0
kyriakos papadopoulos,1549,0.3486,0.0,0.0581
kyriani sabbe,3451,0.1043,0.0782,0.1304
kyrylo dryshlyuk,2482,0.4714,0.0,0.0
kyrylo kovalets,3110,0.2026,0.2315,0.1447
kyrylo prokopchuk,740,0.0,0.0,0.1216
kyrylo sigeev,1184,0.152,0.0,0.0
ladislav krejci,6015,0.2244,0.0599,0.0299
lamarana jallow,1087,0.5796,0.0,0.1656
lamare bogarde,2852,0.284,0.0,0.0
lameck banda,3057,0.265,0.1472,0.1766
lamine camara,6360,0.3396,0.0708,0.184
lamine diack,1635,0.2202,0.0,0.055
lamine fomba,581,0.4647,0.1549,0.0
lamine sy,1532,0.0587,0.0,0.0587
lamine yamal,10119,0.1156,0.4269,0.4358
lampros smyrlis,604,0.149,0.149,0.0
lance duijvestijn,3153,0.1142,0.2284,0.2284
landerson,1289,0.1396,0.0,0.1396
landry dimata,1845,0.5854,0.3902,0.1951
lanroy machine,512,0.1758,0.1758,0.0
largie ramazani,2015,0.4913,0.3127,0.134
lars kramer,2131,0.1689,0.0845,0.0845
lars olden larsen,510,0.0,0.1765,0.0
lars ritzka,1980,0.0909,0.0909,0.0
lars unnerstall,8621,0.0104,0.0,0.0
lassana coulibaly,6749,0.12,0.0533,0.0267
lasse berg johnsen,1931,0.1398,0.2796,0.0932
lasse fl,1532,0.1175,0.0,0.0
lasse nielsen,3799,0.2132,0.0237,0.0948
lasse nordas,994,0.1811,0.5433,0.1811
lasse rie,471,0.0,0.0,0.0
lasse rosenboom,1794,0.1505,0.2007,0.1003
lasse schone,728,0.1236,0.1236,0.1236
lassina traore,2744,0.0984,0.492,0.6232
lassine sinayoko,5539,0.2275,0.325,0.2112
lasso coulibaly,800,0.1125,0.225,0.0
laszlo benes,3306,0.1906,0.245,0.0817
lauge sandgrav,1516,0.0594,0.0594,0.0
laurens de bock,811,0.3329,0.0,0.0
laurent abergel,3657,0.2461,0.0492,0.0
laurent lemoine,1176,0.1531,0.0,0.0
laurits pedersen,1287,0.4196,0.0,0.0699
lautaro giannetti,3392,0.3449,0.0796,0.0265
lautaro martinez,8539,0.1476,0.5902,0.1686
lautaro valenti,3898,0.3002,0.0231,0.0
lawrence agyekum,4034,0.2008,0.0,0.0892
lawrence ofori,3880,0.1392,0.0464,0.0464
lawrence shankland,6126,0.191,0.4407,0.2498
lazar carevic,5070,0.0888,0.0,0.0
lazar kojic,2092,0.3011,0.0,0.0
lazar markovic,888,0.4054,0.1014,0.1014
lazar samardzic,4294,0.1677,0.3144,0.1258
lazare amani,2204,0.3267,0.1633,0.0
lazaros lamprou,3513,0.0512,0.2562,0.1025
lazaros rota,5612,0.2726,0.0,0.1443
leander dendoncker,3876,0.1161,0.0232,0.0232
leandre kuavita,2169,0.166,0.0415,0.0415
leandro bacuna,2453,0.2935,0.1834,0.1101
leandro barreiro,5937,0.2122,0.1819,0.1819
leandro cabrera,6200,0.1161,0.1016,0.029
leandro garate,1094,0.4113,0.2468,0.0823
leandro paredes,4158,0.3463,0.1948,0.1082
leandro sanca,598,0.1505,0.0,0.0
leandro santos,527,0.1708,0.0,0.0
leandro trossard,7298,0.1233,0.3576,0.2466
lechi sadulaev,5643,0.1914,0.1116,0.1116
lee ashcroft,518,0.1737,0.1737,0.0
leeroy owusu,2298,0.0392,0.0392,0.1175
lefteris choutesiotis,4140,0.1739,0.0,0.0
lefteris lyratzis,3222,0.0838,0.0279,0.1117
lefteris tasiouras,561,0.1604,0.0,0.1604
leif davis,2746,0.1639,0.0328,0.0983
leighton clarkson,3174,0.0851,0.1418,0.1134
lennard hartjes,1565,0.0575,0.0575,0.0
lennard hens,746,0.0,0.1206,0.1206
lennard maloney,2594,0.1735,0.0347,0.0
lennart karl,1963,0.0458,0.4126,0.3668
lennart thy,1620,0.1111,0.3889,0.0
lennon miller,4185,0.172,0.0645,0.2151
lenny lobato,493,0.1826,0.0,0.0
lenny pintor,767,0.2347,0.0,0.1173
lenny vallier,751,0.5992,0.0,0.0
leny yoro,5147,0.1749,0.0175,0.0525
leo andrade,1127,0.3194,0.0,0.0
leo baptistao,992,0.1815,0.1815,0.0
leo bolgado,471,0.3822,0.0,0.0
leo cordeiro,3370,0.1335,0.0534,0.0267
leo duarte,6979,0.0903,0.0258,0.0516
leo dubois,2212,0.0407,0.0,0.1627
leo goglichidze,1416,0.0636,0.0,0.3178
leo greiml,3858,0.3499,0.07,0.0
leo jaba,1320,0.0,0.1364,0.1364
leo kokubo,5130,0.1053,0.0,0.0
leo leroy,1056,0.4261,0.0,0.0852
leo petrot,4522,0.1194,0.0199,0.0597
leo realpe,2147,0.1258,0.0419,0.0419
leo roman,3690,0.0976,0.0,0.0
leo santos,3489,0.3869,0.1032,0.0516
leo sauer,4501,0.1,0.2399,0.12
leo scienza,1333,0.135,0.2701,0.2701
leo stigard,5692,0.2056,0.0949,0.0158
leon avdullahu,3048,0.1476,0.0,0.0295
leon bailey,4159,0.1731,0.1515,0.2164
leon balogun,1674,0.1613,0.0538,0.0538
leon goretzka,6531,0.2067,0.2067,0.2205
leon klassen,1277,0.4933,0.0705,0.141
leon mccann,2385,0.2264,0.0,0.1132
leon zaydenzal,967,0.1861,0.0,0.0
leonardo balerdi,6852,0.2758,0.0131,0.0263
leonardo bittencourt,2634,0.5125,0.0683,0.1367
leonardo buta,1786,0.2016,0.0,0.0504
leonardo lelo,7191,0.0626,0.0375,0.1627
leonardo lopes,3011,0.1793,0.0299,0.0897
leonardo pavoletti,881,0.7151,0.3065,0.1022
leonardo spinazzola,5490,0.1148,0.0656,0.1311
leonel bucca,2153,0.5016,0.1254,0.1254
leonidas stergiou,1787,0.0,0.1007,0.1007
leopold querfeld,4836,0.2605,0.1675,0.0372
lequincio zeefuik,2006,0.4487,0.1795,0.0897
leroy abanda,2210,0.2443,0.0,0.0814
leroy fer,1413,0.4459,0.0637,0.0
leroy sane,6840,0.0789,0.2763,0.2237
lesley ugochukwu,4397,0.1842,0.0819,0.0819
levan shengelia,4767,0.151,0.1322,0.2266
levent mercan,3448,0.1044,0.0261,0.2088
levi colwill,4637,0.2523,0.0388,0.0388
levi garcia,4057,0.0666,0.6211,0.1997
levi smans,2518,0.0715,0.143,0.1787
levy nene,587,0.3066,1.0733,0.1533
lewin blum,1141,0.3944,0.0,0.0789
lewis cook,6281,0.2293,0.0143,0.086
lewis dunk,6920,0.2341,0.052,0.013
lewis ferguson,5658,0.2227,0.0636,0.0318
lewis hall,6270,0.1435,0.0287,0.1005
lewis holtby,3357,0.0804,0.0268,0.1877
lewis jamieson,499,0.0,0.0,0.0
lewis mayo,6521,0.0966,0.0138,0.0138
lewis miley,3510,0.0256,0.1282,0.1538
lewis miller,2912,0.1236,0.0309,0.0618
lewis neilson,3036,0.0889,0.0,0.0296
lewis schouten,1370,0.0657,0.0657,0.0
lewis smith,1708,0.1054,0.3689,0.0527
liam delap,4576,0.3934,0.295,0.1377
liam donnelly,3184,0.3392,0.0283,0.0283
liam gordon,4069,0.1769,0.0221,0.0221
liam henderson,5812,0.2323,0.0155,0.0929
liam kelly,2430,0.0741,0.0,0.0
liam morrison,711,0.3797,0.0,0.0
liam polworth,4398,0.1637,0.0614,0.0614
liam scales,7704,0.1636,0.0467,0.0701
liam van gelderen,2967,0.1213,0.0,0.0
liberato cacace,3679,0.1712,0.0734,0.1468
lilian brassier,5618,0.1602,0.0481,0.032
lilian raolisoa,3283,0.1097,0.0548,0.1919
lincoln,2435,0.1848,0.0739,0.1848
lindon emerllahu,1009,0.0,0.0892,0.0892
lindsay rose,2658,0.3386,0.0339,0.0
linton maina,2009,0.224,0.0896,0.1344
lion lauberbach,1786,0.2016,0.1512,0.1512
lionel carole,5451,0.0991,0.0,0.0165
lirim qamili,3008,0.0598,0.5086,0.2094
lisandro martinez,4301,0.2093,0.0419,0.0419
livan burcu,652,0.6902,0.138,0.138
liziero,2347,0.2301,0.0,0.1534
lloyd kelly,6865,0.1311,0.0393,0.0524
llya karavashchenko,630,0.0,0.0,0.0
logan costa,4219,0.0853,0.064,0.0213
logan delaurier chaubet,585,0.1538,0.1538,0.0
logi tomasson,2439,0.2583,0.0738,0.1476
loic bade,6645,0.2302,0.0135,0.0135
loic lapoussin,1606,0.2242,0.2242,0.2242
loic mbe soh,3015,0.0597,0.0597,0.0
loic nego,5522,0.1467,0.0,0.0489
loick ayina,990,0.0909,0.0,0.0
loide augusto,3266,0.3307,0.1929,0.2205
lois openda,6240,0.0865,0.4038,0.2019
loizos loizou,610,0.0,0.2951,0.4426
loreintz rosier,3112,0.2314,0.0868,0.0289
loren moron,5527,0.1791,0.4885,0.0489
lorenz assignon,5722,0.3303,0.0786,0.1416
lorenzo bernasconi,2668,0.1349,0.0,0.1012
lorenzo colombo,5299,0.1529,0.2548,0.0849
lorenzo de silvestri,1878,0.1438,0.0958,0.0
lorenzo lucca,5065,0.3021,0.3376,0.0888
lorenzo milani,483,0.1863,0.0,0.0
lorenzo montipo,8280,0.0,0.0,0.0217
lorenzo pellegrini,6190,0.2036,0.2472,0.1599
lorenzo pirola,4917,0.0732,0.0183,0.0183
lorenzo scipioni,1004,0.3586,0.0,0.0
lorenzo venturino,466,0.0,0.3863,0.1931
loret sadiku,967,0.0931,0.0,0.0
loris benito,1136,0.2377,0.0,0.0
louie marsh,584,0.1541,0.1541,0.3082
louis leroux,2257,0.1196,0.1196,0.0798
louis moult,687,0.393,0.393,0.0
louis mouton,2948,0.1221,0.0611,0.0611
louis oppie,1991,0.0,0.0904,0.0
louis patris,3725,0.2658,0.0242,0.1933
louka prip,1675,0.0537,0.2687,0.1075
loum tchaouna,4469,0.2215,0.1611,0.1007
lovro majer,2903,0.279,0.248,0.279
luan campos,2240,0.0804,0.3214,0.0402
luan patrick,2685,0.1341,0.0,0.0
lubambo musonda,607,0.1483,0.0,0.0
lubomir satka,6175,0.0437,0.0291,0.0437
lubomir tupta,2300,0.0783,0.1565,0.0783
luc de fougerolles,1460,0.1849,0.0,0.0616
luc marijnissen,2520,0.1429,0.0357,0.0
luca caldirola,1863,0.4348,0.0,0.0
luca de la torre,1087,0.0828,0.2484,0.3312
luca jaquez,1965,0.0916,0.0458,0.0458
luca kerber,1734,0.4152,0.2076,0.0
luca koleosho,769,0.0,0.3511,0.117
luca lipani,1600,0.1687,0.0,0.0562
luca marianucci,2284,0.1576,0.0,0.1182
luca mazzitelli,2608,0.2071,0.2071,0.1035
luca meirelles,955,0.1885,0.7539,0.1885
luca netz,3627,0.1241,0.0248,0.1241
luca oyen,937,0.0,0.2882,0.0
luca pellegrini,3817,0.5423,0.0472,0.1415
luca pfeiffer,617,0.0,0.0,0.0
