ref_norm,referee,club_games,club_cpg,club_ratio
stefan jeknic,Stefan Jeknic,16,3.938,0.914
petr hocek,Petr Hocek,16,3.062,0.711
antonio melnjak,Antonio Melnjak,16,4.375,1.015
miguel fonseca,Miguel Fonseca,16,5.5,1.277
mohammed al esmaiel,Mohammed Al-Esmaiel,16,4.625,1.074
sultan al harbi,Sultan Al-Harbi,16,3.812,0.885
abdulsamad bakri,Abdulsamad Bakri,16,5.188,1.204
ismir pekmic,Ismir Pekmic,16,5.375,1.248
takafumi mikuriya,Takafumi Mikuriya,16,2.062,0.479
erik mattsson,Erik Mattsson,16,3.438,0.798
daniel quintero,Daniel Quintero,16,5.125,1.19
adonai escobedo gonzalez,Adonai Escobedo González,16,5.812,1.349
victor caceres hernandez,Víctor Cáceres Hernández,16,4.5,1.045
ariel penel,Ariel Penel,16,4.0,0.928
nicolas ramirez,Nicolás Ramírez,16,5.875,1.364
joao ferreira,João Ferreira,15,4.4,1.021
kuddusi muftuoglu,Kuddusi Müftüoğlu,15,4.133,0.959
cristian balaj,Cristian Balaj,15,4.0,0.928
neil doyle,Neil Doyle,15,5.533,1.284
kristinn jakobsson,Kristinn Jakobsson,15,3.133,0.727
marcin borski,Marcin Borski,15,6.0,1.393
gavin ross,Gavin Ross,15,4.667,1.083
hiroyuki kimura,Hiroyuki Kimura,15,2.867,0.665
trevor kettle,Trevor Kettle,15,4.2,0.975
andy davies,Andy Davies,15,3.533,0.82
georgios foukakis,Georgios Foukakis,15,5.067,1.176
giannis topouzis,Giannis Topouzis,15,3.467,0.805
dr. arne aarnink,Dr. Arne Aarnink,15,4.6,1.068
christof virant,Christof Virant,15,3.733,0.867
james linington,James Linington,15,2.133,0.495
adam farkas,Ádám Farkas,15,4.8,1.114
antonio di martino,Antonio Di Martino,15,5.667,1.315
mike roncone,Mike Roncone,15,3.4,0.789
samuel allison,Samuel Allison,15,4.067,0.944
michael rasmussen,Michael Rasmussen,15,3.333,0.774
patrick stenzel rasmussen,Patrick Stenzel Rasmussen,15,1.333,0.309
luuk timmer,Luuk Timmer,15,2.4,0.557
aurelien petit,Aurélien Petit,15,4.4,1.021
sunny gill,Sunny Gill,15,3.667,0.851
jesus valenzuela,Jesús Valenzuela,15,3.733,0.867
yigit arslan,Yiğit Arslan,15,4.8,1.114
mikhail cheremnykh,Mikhail Cheremnykh,15,3.333,0.774
ionut coza,Ionuț Coza,15,4.067,0.944
abdullah al owaidan,Abdullah Al-Owaidan,15,4.267,0.99
futoshi nakamura,Futoshi Nakamura,15,2.8,0.65
koichiro fukushima,Koichiro Fukushima,15,1.333,0.309
masuya ueda,Masuya Ueda,15,3.0,0.696
koei koya,Koei Koya,15,2.733,0.634
mathias stfringshaug,Mathias Støfringshaug,15,3.133,0.727
woo sung kim,Woo-sung Kim,15,4.0,0.928
jakub wulkan,Jakub Wulkan,15,3.867,0.898
guillaume paradis,Guillaume Paradis,15,3.933,0.913
jose ortiz,José Ortiz,15,6.8,1.578
oleksandr bilokur,Oleksandr Bilokur,14,4.643,1.078
michael svendsen,Michael Svendsen,14,3.071,0.713
claus bo larsen,Claus Bo Larsen,14,3.357,0.779
thorvaldur arnason,Thorvaldur Arnason,14,3.786,0.879
chris johansen,Chris Johansen,14,1.071,0.249
jeremy simpson,Jeremy Simpson,14,3.5,0.812
jumpei iida,Jumpei Iida,14,2.5,0.58
deniz coban,Deniz Coban,14,4.786,1.111
tihomir pejin,Tihomir Pejin,14,4.214,0.978
niccolo baroni,Niccolò Baroni,14,3.929,0.912
maksim perezva,Maksim Perezva,14,3.857,0.895
john busby,John Busby,14,3.929,0.912
angelos angelakis,Angelos Angelakis,14,3.571,0.829
iwan griffith,Iwan Griffith,14,4.857,1.127
nick smit,Nick Smit,14,2.714,0.63
patrick remon gammelholm (andersen),Patrick Remon Gammelholm (Andersen),14,1.5,0.348
aleksandr mashlyakevich,Aleksandr Mashlyakevich,14,3.786,0.879
igal frid,Igal Frid,14,4.286,0.995
ivar orri kristjansson,Ívar Orri Kristjánsson,14,4.429,1.028
wouter wiersma,Wouter Wiersma,14,4.214,0.978
carl brook,Carl Brook,14,4.5,1.045
meletis gioumatzidis,Meletis Gioumatzidis,14,5.5,1.277
simon mather,Simon Mather,14,4.143,0.962
momcilo markovic,Momcilo Markovic,14,3.714,0.862
alberto ruben arena,Alberto Ruben Arena,14,3.0,0.696
svend funder,Svend Funder,14,3.071,0.713
george catalin roman,George Catalin Roman,14,2.714,0.63
fareeh al jaloud,Fareeh Al-Jaloud,14,4.643,1.078
abdullah saleh al harbi,Abdullah Saleh Al-Harbi,14,4.214,0.978
khalid al ahmari,Khalid Al-Ahmari,14,3.929,0.912
jonathan barreiro,Jonathan Barreiro,14,2.857,0.663
casey reibelt,Casey Reibelt,14,3.643,0.846
lukasz szpala,Lukasz Szpala,14,3.5,0.812
yudai yamamoto,Yudai Yamamoto,14,2.571,0.597
ismael lopez penuelas,Ismael López Peñuelas,14,3.929,0.912
luis santander aguirre,Luis Santander Aguirre,14,5.357,1.243
marco ortiz nava,Marco Ortiz Nava,14,4.643,1.078
fernando espinoza,Fernando Espinoza,14,5.071,1.177
graham beaton,Graham Beaton,13,3.385,0.786
aleksandrs anufrijevs,Aleksandrs Anufrijevs,13,4.769,1.107
aleandro di paolo,Aleandro Di Paolo,13,3.462,0.803
james adcock,James Adcock,13,3.308,0.768
christos granas,Christos Granas,13,4.077,0.946
rui rodrigues,Rui Rodrigues,13,5.154,1.196
oleg sokolov,Oleg Sokolov,13,3.615,0.839
tomasz musial,Tomasz Musial,13,3.385,0.786
saul ais reig,Saúl Ais Reig,13,3.923,0.911
yuriy karpov,Yuriy Karpov,13,3.462,0.803
artem petrenko,Artem Petrenko,13,3.308,0.768
yunus koshko,Yunus Koshko,13,5.538,1.286
oliver de la fuente ramos,Oliver de la Fuente Ramos,13,5.385,1.25
neil hair,Neil Hair,13,3.692,0.857
mostafa seyfi,Mostafa Seyfi,13,2.615,0.607
nicki nordlund hansen,Nicki Nordlund Hansen,13,2.615,0.607
sebastian tornhoj nielsen,Sebastian Tornhöj Nielsen,13,2.231,0.518
volen chinkov,Volen Chinkov,13,5.154,1.196
frederik svendsen,Frederik Svendsen,13,2.385,0.553
ivan barton,Iván Barton,13,4.385,1.018
sofiya prychyna,Sofiya Prychyna,13,5.692,1.321
abdullah bugra tasknsoy,Abdullah Buğra Taşkınsoy,13,3.923,0.911
robin braun,Robin Braun,13,4.462,1.036
stefan horisberger,Stefan Horisberger,13,4.154,0.964
daniel vokoun,Daniel Vokoun,13,4.077,0.946
vit zaoral,Vit Zaoral,13,3.385,0.786
daniel pfister,Daniel Pfister,13,5.923,1.375
josef spurny,Josef Spurny,13,3.846,0.893
oguzhan aksu,Oğuzhan Aksu,13,2.846,0.661
shane skinner,Shane Skinner,13,3.154,0.732
tess olofsson,Tess Olofsson,13,4.0,0.928
yong woo kim,Yong-woo Kim,13,3.846,0.893
fernando antonio mendes,Fernando Antonio Mendes,13,5.385,1.25
jhon ospina,Jhon Ospina,13,7.231,1.678
luis delgado,Luis Delgado,13,4.692,1.089
ravshan irmatov,Ravshan Irmatov,12,4.25,0.986
yuriy foshchiy,Yuriy Foshchiy,12,5.083,1.18
laurent kopriwa,Laurent Kopriwa,12,5.417,1.257
ognjen valjic,Ognjen Valjic,12,4.417,1.025
clayton pisani,Clayton Pisani,12,4.333,1.006
pavle radovanovic,Pavle Radovanovic,12,3.583,0.832
dimitar meckarovski,Dimitar Meckarovski,12,4.25,0.986
martin hansson,Martin Hansson,12,3.5,0.812
alvaro moreno aragon,Álvaro Moreno Aragón,12,4.417,1.025
steven reid,Steven Reid,12,3.25,0.754
gerasimos ditsos,Gerasimos Ditsos,12,5.167,1.199
kevin graham,Kevin Graham,12,3.75,0.87
graham salisbury,Graham Salisbury,12,3.583,0.832
zaven hovhannisyan,Zaven Hovhannisyan,12,3.75,0.87
paul mclaughlin,Paul McLaughlin,12,5.417,1.257
bojan pandzic,Bojan Pandzic,12,3.25,0.754
jose antonio lopez toca,José Antonio López Toca,12,3.917,0.909
alain durieux,Alain Durieux,12,4.667,1.083
daniele paterna,Daniele Paterna,12,4.75,1.103
igor vertkov,Igor Vertkov,12,5.667,1.315
peter stuart,Peter Stuart,12,5.5,1.277
ian mcnabb,Ian McNabb,12,4.5,1.045
yan marushko,Yan Marushko,12,3.5,0.812
eldorjan hamiti,Eldorjan Hamiti,12,5.417,1.257
aleksey koltunov,Aleksey Koltunov,12,5.167,1.199
leigh doughty,Leigh Doughty,12,3.5,0.812
daniele perenzoni,Daniele Perenzoni,12,3.667,0.851
james bell,James Bell,12,3.5,0.812
philip farrugia,Philip Farrugia,12,4.417,1.025
vitalijs spasjonnikovs,Vitalijs Spasjonnikovs,12,4.25,0.986
visar kastrati,Visar Kastrati,12,6.0,1.393
pavle tomic,Pavle Tomic,12,5.167,1.199
valerio crezzini,Valerio Crezzini,12,3.583,0.832
ali al qahtani,Ali Al-Qahtani,12,3.833,0.89
nathan shakespear,Nathan Shakespear,12,3.167,0.735
farai hallam,Farai Hallam,12,2.5,0.58
koji takasaki,Koji Takasaki,12,2.583,0.6
keigo sendachi,Keigo Sendachi,12,3.083,0.716
ryo tanimoto,Ryo Tanimoto,12,2.0,0.464
hayato shimizu,Hayato Shimizu,12,1.917,0.445
hiroki kasahara,Hiroki Kasahara,12,3.667,0.851
eivind bodding,Eivind Bodding,12,2.667,0.619
nicolas lamolina,Nicolás Lamolina,12,4.75,1.103
sang hyeop chae,Sang-hyeop Chae,12,3.417,0.793
carlos betancurt,Carlos Betancurt,12,5.583,1.296
diego ulloa,Diego Ulloa,12,5.833,1.354
alan mario sant,Alan Mario Sant,11,4.545,1.055
sergey tsinkevich,Sergey Tsinkevich,11,3.545,0.823
jose luis paradas romero,José Luis Paradas Romero,11,7.455,1.73
mat northcroft,Mat Northcroft,11,3.636,0.844
nikolaos poulimas,Nikolaos Poulimas,11,4.818,1.118
sergey smirnov,Sergey Smirnov,11,5.818,1.35
andrey fisenko,Andrey Fisenko,11,4.818,1.118
luis mario milla alvendiz,Luis Mario Milla Alvendiz,11,7.727,1.794
kevin johnson,Kevin Johnson,11,4.182,0.971
darren handley,Darren Handley,11,2.636,0.612
riccardo ros,Riccardo Ros,11,4.455,1.034
konstantinos kotsanis,Konstantinos Kotsanis,11,4.909,1.139
kevin puts,Kevin Puts,11,3.909,0.907
casper thorsoe jr.,Casper Thorsöe Jr.,11,2.455,0.57
dmitri streltsov,Dmitri Streltsov,11,5.0,1.161
triantafyllos tikas,Triantafyllos Tikas,11,5.455,1.266
krzysztof jakubik,Krzysztof Jakubik,11,4.091,0.95
robert hennessy,Robert Hennessy,11,4.636,1.076
allan staal,Allan Staal,11,1.545,0.359
ruben avalos barrera,Rubén Ávalos Barrera,11,4.182,0.971
peter wright,Peter Wright,11,3.273,0.76
jacob rasmussen,Jacob Rasmussen,11,2.455,0.57
joao malheiro pinto,João Malheiro Pinto,11,5.0,1.161
petri viljanen,Petri Viljanen,11,4.818,1.118
igor kaplenkov,Igor Kaplenkov,11,3.364,0.781
lorenzo maggioni,Lorenzo Maggioni,11,3.455,0.802
sam purkiss,Sam Purkiss,11,3.455,0.802
wilton sampaio,Wilton Sampaio,11,4.636,1.076
helgi mikael jonasson,Helgi Mikael Jónasson,11,4.182,0.971
oliver alexander stegemuller fogh simbold,Oliver Alexander Stegemüller Fogh Simbold,11,2.364,0.549
robin vereijken,Robin Vereijken,11,1.273,0.295
george calder,George Calder,11,3.818,0.886
stewart luke,Stewart Luke,11,1.818,0.422
stanislav matveev,Stanislav Matveev,11,4.818,1.118
alex shepherd,Alex Shepherd,11,4.0,0.928
greg soutar,Greg Soutar,11,3.727,0.865
ishmael barbara,Ishmael Barbara,11,4.0,0.928
henrik nalbandyan,Henrik Nalbandyan,11,5.455,1.266
david smajc,David Smajc,11,4.455,1.034
davide di marco,Davide Di Marco,11,3.091,0.717
nazariy dyord,Nazariy Dyord,11,5.091,1.182
marcio torres,Márcio Torres,11,3.818,0.886
jrgen daugbjerg burchardt,Jørgen Daugbjerg Burchardt,11,3.727,0.865
cristian moldoveanu,Cristian Moldoveanu,11,3.727,0.865
safak barmaksiz,Safak Barmaksiz,11,5.0,1.161
sorin dan vadana,Sorin Dan Vadana,11,4.818,1.118
mohammed sami al ismail,Mohammed Sami Al-Ismail,11,5.0,1.161
mohammed abu shaqara,Mohammed Abu Shaqara,11,4.273,0.992
sam kelly,Sam Kelly,11,4.636,1.076
vladislav tselovalnikov,Vladislav Tselovalnikov,11,4.182,0.971
atsushi kamimura,Atsushi Kamimura,11,2.727,0.633
jorge camacho peregrina,Jorge Camacho Peregrina,11,4.273,0.992
fernando hernandez gomez,Fernando Hernández Gómez,11,4.182,0.971
maximiliano quintero hernandez,Maximiliano Quintero Hernández,11,5.455,1.266
oscar mejia garcia,Óscar Mejía García,11,5.091,1.182
bruno amiconi,Bruno Amiconi,11,6.182,1.435
wagner do nascimento magalhaes,Wagner do Nascimento Magalhães,11,5.0,1.161
roberto rosetti,Roberto Rosetti,10,3.7,0.859
frank de bleeckere,Frank De Bleeckere,10,4.9,1.137
carlos manuel serra guerreiro alho,Carlos-Manuel Serra Guerreiro Alho,10,5.3,1.23
jurgen brinckman,Jurgen Brinckman,10,4.2,0.975
vasilis dimitriou,Vasilis Dimitriou,10,3.6,0.836
huseyin sabanci,Hüseyin Sabanci,10,6.3,1.462
alan kelly,Alan Kelly,10,4.9,1.137
lorenzo illuzzi,Lorenzo Illuzzi,10,3.9,0.905
gorka sagues oscoz,Gorka Sagués Oscoz,10,6.7,1.555
rob lewis,Rob Lewis,10,3.0,0.696
lee collins,Lee Collins,10,3.5,0.812
jon ander gonzalez esteban,Jon Ander González Esteban,10,4.1,0.952
ville nevalainen,Ville Nevalainen,10,5.2,1.207
brett huxtable,Brett Huxtable,10,3.2,0.743
tim marshall,Tim Marshall,10,3.6,0.836
sam droge,Sam Dröge,10,2.7,0.627
ferenc karako,Ferenc Karakó,10,6.2,1.439
maksim chembulatov,Maksim Chembulatov,10,3.5,0.812
kai erik steen,Kai Erik Steen,10,4.4,1.021
jonas bogelund,Jonas Bögelund,10,2.9,0.673
jesse rozendal,Jesse Rozendal,10,2.8,0.65
konstantinos andrianos,Konstantinos Andrianos,10,6.7,1.555
connor ashwood,Connor Ashwood,10,2.3,0.534
duncan williams,Duncan Williams,10,4.8,1.114
jacob stausgaard kobberrod,Jacob Stausgaard Kobberröd,10,2.9,0.673
aleksey lapatukhin,Aleksey Lapatukhin,10,3.7,0.859
panagiotis koukoulas,Panagiotis Koukoulas,10,4.8,1.114
michael eijgelsheim,Michael Eijgelsheim,10,4.2,0.975
mustapha ghorbal,Mustapha Ghorbal,10,3.2,0.743
niels boel,Niels Boel,10,2.7,0.627
paul howard,Paul Howard,10,2.7,0.627
ross birrell,Ross Birrell,10,2.3,0.534
daniel graves,Daniel Graves,10,1.8,0.418
igor stojchevski,Igor Stojchevski,10,3.9,0.905
luka bilbija,Luka Bilbija,10,3.5,0.812
david fucsman,David Fucsman,10,4.9,1.137
jonas baek,Jonas Baek,10,2.9,0.673
mathias lykke,Mathias Lykke,10,3.4,0.789
jan machalek,Jan Machalek,10,3.7,0.859
chrysovalantis theouli,Chrysovalantis Theouli,10,2.6,0.603
edward duckworth,Edward Duckworth,10,4.4,1.021
adam herczeg,Adam Herczeg,10,2.9,0.673
radoslav gidzhenov,Radoslav Gidzhenov,10,5.1,1.184
matt corlett,Matt Corlett,10,3.5,0.812
omer faruk turtay,Ömer Faruk Turtay,10,3.5,0.812
piotr rzucidlo,Piotr Rzucidlo,10,4.1,0.952
shu kawamata,Shu Kawamata,10,2.0,0.464
yoshiro imamura,Yoshiro Imamura,10,2.5,0.58
jesus lopez valle,Jesús López Valle,10,4.9,1.137
guillermo pacheco,Guillermo Pacheco,10,3.9,0.905
katia garcia mendoza,Katia García Mendoza,10,4.3,0.998
dimitrios moschou,Dimitrios Moschou,10,4.6,1.068
jorge larrionda,Jorge Larrionda,9,4.222,0.98
ante vucemilovic,Ante Vucemilovic,9,5.444,1.264
eduard malyi,Eduard Malyi,9,7.222,1.676
henrik kragh,Henrik Kragh,9,4.0,0.928
vlado glodjovic,Vlado Glodjovic,9,3.889,0.903
denis shcherbakov,Denis Shcherbakov,9,3.778,0.877
hakan ceylan,Hakan Ceylan,9,5.333,1.238
thierry derycke,Thierry Derycke,9,4.778,1.109
vitali rushakov,Vitali Rushakov,9,4.778,1.109
nestor pitana,Néstor Pitana,9,2.556,0.593
patrick alt,Patrick Alt,9,6.444,1.496
yunus yldrm,Yunus Yıldırım,9,4.667,1.083
bulent birincioglu,Bülent Birincioğlu,9,4.667,1.083
andre moreira,André Moreira,9,6.333,1.47
joao mendes,João Mendes,9,5.556,1.29
igor kholin,Igor Kholin,9,7.444,1.728
aleksandr gurenko,Aleksandr Gurenko,9,4.667,1.083
vladislav rybakov,Vladislav Rybakov,9,5.889,1.367
konstantin yudanov,Konstantin Yudanov,9,6.333,1.47
kirill silantjev,Kirill Silantjev,9,4.889,1.135
joao matos,João Matos,9,4.889,1.135
daniel amabile,Daniel Amabile,9,3.222,0.748
evgeniy galimov,Evgeniy Galimov,9,5.556,1.29
daniyar sakhi,Daniyar Sakhi,9,2.889,0.671
paw johansen,Paw Johansen,9,2.444,0.567
frida mia klarlund nielsen,Frida Mia Klarlund Nielsen,9,3.889,0.903
vladimir shamara,Vladimir Shamara,9,3.778,0.877
aitor gorostegui fernandez ortega,Aitor Gorostegui Fernández Ortega,9,6.0,1.393
georgios lamprou,Georgios Lamprou,9,6.444,1.496
niclas gomes,Niclas Gomes,9,3.111,0.722
gennadiy serputko,Gennadiy Serputko,9,5.333,1.238
andrey zubov,Andrey Zubov,9,3.333,0.774
scott lambie,Scott Lambie,9,3.0,0.696
declan bourne,Declan Bourne,9,4.333,1.006
martin woods,Martin Woods,9,3.0,0.696
matthew de gabriele,Matthew De Gabriele,9,5.444,1.264
rob jenkins,Rob Jenkins,9,4.778,1.109
andres hernandez,Andrés Hernández,9,4.778,1.109
igor zakharov,Igor Zakharov,9,3.444,0.799
jasmin sabotic,Jasmin Sabotic,9,4.778,1.109
andres fuentes molina,Andrés Fuentes Molina,9,3.889,0.903
colin whyte,Colin Whyte,9,5.556,1.29
snir levi,Snir Levi,9,5.556,1.29
robertas valikonis,Robertas Valikonis,9,4.444,1.032
ashot ghaltakhchyan,Ashot Ghaltakhchyan,9,5.111,1.186
mohammed al emara,Mohammed Al-Emara,9,5.556,1.29
andy gamble,Andy Gamble,9,4.0,0.928
michael mccart,Michael McCart,9,3.667,0.851
menelaos antoniou,Menelaos Antoniou,9,3.444,0.799
sean murdoch,Sean Murdoch,9,4.111,0.954
tim visser,Tim Visser,9,4.556,1.057
diogo rosa,Diogo Rosa,9,6.333,1.47
mateusz piszczelok,Mateusz Piszczelok,9,4.222,0.98
florian jager,Florian Jäger,9,5.444,1.264
omer tolga guldibi,Ömer Tolga Güldibi,9,5.333,1.238
andres rojas,Andrés Rojas,9,4.778,1.109
elijio arreguin,Elijio Arreguin,9,4.667,1.083
bryan ferreyra,Bryan Ferreyra,9,4.111,0.954
massimiliano ledda,Massimiliano Ledda,9,4.111,0.954
luis filipe,Luís Filipe,9,4.667,1.083
luis matorel,Luis Matorel,9,6.556,1.522
georgios kokkinos,Georgios Kokkinos,9,6.111,1.418
armando archundia tellez,Armando Archundia Téllez,8,3.375,0.783
christian dietz,Christian Dietz,8,4.375,1.015
radek prihoda,Radek Prihoda,8,4.375,1.015
giorgi vadachkoria,Giorgi Vadachkoria,8,3.875,0.899
danilo grujic,Danilo Grujic,8,4.0,0.928
jovan kaludjerovic,Jovan Kaludjerovic,8,2.875,0.667
ken henry johnsen,Ken Henry Johnsen,8,6.5,1.509
german cid camacho,Germán Cid Camacho,8,6.5,1.509
sergio uson rosel,Sergio Usón Rosel,8,9.75,2.263
denis shpilev,Denis Shpilev,8,4.5,1.045
vyacheslav kharlamov,Vyacheslav Kharlamov,8,6.625,1.538
roman chernov,Roman Chernov,8,4.375,1.015
phil gibbs,Phil Gibbs,8,2.75,0.638
nick kinseley,Nick Kinseley,8,3.375,0.783
nigel miller,Nigel Miller,8,1.875,0.435
mark haywood,Mark Haywood,8,2.375,0.551
dr. martin thomsen,Dr. Martin Thomsen,8,4.25,0.986
rahim hasanov,Rahim Hasanov,8,5.625,1.306
wim bronsvoort,Wim Bronsvoort,8,1.75,0.406
lorenzo cairo,Lorenzo Cairo,8,1.875,0.435
florian heft,Florian Heft,8,5.125,1.19
christian mulder,Christian Mulder,8,3.625,0.841
sander de brito roque,Sander de Brito Roque,8,1.75,0.406
jose antonio sanchez villalobos,José Antonio Sánchez Villalobos,8,4.75,1.103
evgeni gerasimenko,Evgeni Gerasimenko,8,3.375,0.783
ilya bugrov,Ilya Bugrov,8,3.5,0.812
stanislav isaev,Stanislav Isaev,8,3.0,0.696
alex troleis,Alex Troleis,8,3.5,0.812
oleksandr tytov,Oleksandr Tytov,8,4.625,1.074
rafael sanchez lopez,Rafael Sánchez López,8,5.5,1.277
oleg evstigneev,Oleg Evstigneev,8,3.25,0.754
artem smolin,Artem Smolin,8,5.75,1.335
luca cantineau,Luca Cantineau,8,2.75,0.638
thom winkel,Thom Winkel,8,4.5,1.045
sven waschitzki gunther,Sven Waschitzki-Günther,8,5.375,1.248
luca barbeno,Luca Barbeno,8,5.375,1.248
jason barcelo,Jason Barcelo,8,2.75,0.638
luis teixeira,Luís Teixeira,8,3.25,0.754
anders voergaard,Anders Voergaard,8,2.625,0.609
michael bacher,Michael Bacher,8,6.125,1.422
kari joannesarson a hovdanum,Kári Jóannesarson á Hövdanum,8,3.875,0.899
philip warburg,Philip Warburg,8,3.0,0.696
maksim vasilchenko,Maksim Vasilchenko,8,4.25,0.986
chris fordyce,Chris Fordyce,8,5.625,1.306
jordan curran,Jordan Curran,8,3.25,0.754
thomas parsons,Thomas Parsons,8,3.125,0.725
christopher pollard,Christopher Pollard,8,4.5,1.045
viktor shimusik,Viktor Shimusik,8,4.375,1.015
yaroslav khromey,Yaroslav Khromey,8,4.125,0.957
matteo gariglio,Matteo Gariglio,8,3.625,0.841
alastair grieve,Alastair Grieve,8,3.375,0.783
gary hanvidge,Gary Hanvidge,8,1.75,0.406
harry bruce,Harry Bruce,8,2.875,0.667
ross menzies,Ross Menzies,8,1.375,0.319
mario escobar,Mario Escobar,8,4.5,1.045
edina alves batista,Edina Alves Batista,8,5.75,1.335
joni hyytia,Joni Hyytiä,8,4.625,1.074
joonas jaanovits,Joonas Jaanovits,8,5.0,1.161
danila tsurkov,Danila Tsurkov,8,3.0,0.696
jacob miles,Jacob Miles,8,4.0,0.928
bulat sariev,Bulat Sariev,8,3.875,0.899
yoshimi yamashita,Yoshimi Yamashita,8,1.125,0.261
vlad baban,Vlad Băban,8,4.625,1.074
rob hennessy,Rob Hennessy,8,4.75,1.103
abdullah yahya zarban,Abdullah Yahya Zarban,8,5.125,1.19
alex chilowicz,Alex Chilowicz,8,3.5,0.812
elliot bell,Elliot Bell,8,4.0,0.928
ramy touchan,Ramy Touchan,8,5.0,1.161
yusuke ohashi,Yusuke Ohashi,8,1.875,0.435
daniel zamora,Daniel Zamora,8,5.625,1.306
juan pafundi,Juan Pafundi,8,5.375,1.248
joao vitor gobi,João Vitor Gobi,8,3.875,0.899
jefferson ferreira de moraes,Jefferson Ferreira de Moraes,8,6.25,1.451
mohammad al emara,Mohammad Al-Emara,8,3.75,0.87
marijan drmic,Marijan Drmic,8,4.875,1.132
steven camargo,Steven Camargo,8,8.375,1.944
wilmar montano,Wilmar Montano,8,5.875,1.364
alvaro melendez,Álvaro Meléndez,8,8.25,1.915
vicente reynoso,Vicente Reynoso,8,4.25,0.986
marco rodriguez,Marco Rodríguez,7,3.857,0.895
robert kempter,Robert Kempter,7,5.143,1.194
dmytro zhukov,Dmytro Zhukov,7,7.714,1.791
george salmond,George Salmond,7,2.857,0.663
stevie o'reilly,Stevie O'Reilly,7,4.571,1.061
suren baliyan,Suren Baliyan,7,4.286,0.995
padraig sutton,Padraig Sutton,7,5.286,1.227
michael lerjeus,Michael Lerjéus,7,4.714,1.094
mag. markus hameter,Mag. Markus Hameter,7,4.429,1.028
jari jarvinen,Jari Järvinen,7,5.429,1.26
christos nikolaidis,Christos Nikolaidis,7,4.429,1.028
petur reinert,Petur Reinert,7,3.714,0.862
oleksandr pavlyuk,Oleksandr Pavlyuk,7,7.143,1.658
leonardo baracani,Leonardo Baracani,7,4.286,0.995
julio fermin leo ollo,Julio Fermín Leo Ollo,7,6.286,1.459
des roache,Des Roache,7,4.0,0.928
santiago varon aceiton,Santiago Varón Aceitón,7,7.0,1.625
lasha verulidze,Lasha Verulidze,7,7.429,1.724
gary john sutton,Gary John Sutton,7,2.571,0.597
darren deadman,Darren Deadman,7,3.571,0.829
nawaf shukralla,Nawaf Shukralla,7,4.143,0.962
rene rohde,René Rohde,7,3.714,0.862
dejan jakimovski,Dejan Jakimovski,7,5.571,1.293
gunnar jarl jonsson,Gunnar Jarl Jónsson,7,3.571,0.829
francesco paolo saia,Francesco Paolo Saia,7,3.286,0.763
mark heywood,Mark Heywood,7,5.0,1.161
mark geiger,Mark Geiger,7,3.429,0.796
alexandru tean,Alexandru Tean,7,3.286,0.763
mykhaylo mytrovsky,Mykhaylo Mytrovsky,7,5.143,1.194
volodymyr milanych,Volodymyr Milanych,7,5.429,1.26
sergiy dankovskyi,Sergiy Dankovskyi,7,4.714,1.094
erez papir,Erez Papir,7,4.286,0.995
salvador lax franco,Salvador Lax Franco,7,3.286,0.763
aleksey kuznetsov,Aleksey Kuznetsov,7,6.286,1.459
maksim matyunin,Maksim Matyunin,7,5.429,1.26
calum haswell,Calum Haswell,7,4.571,1.061
oleg koretskiy,Oleg Koretskiy,7,3.143,0.729
vitali ermakov,Vitali Ermakov,7,3.714,0.862
yuri sotnikov,Yuri Sotnikov,7,5.571,1.293
veaceslav banari,Veaceslav Banari,7,4.143,0.962
mikhail nebogatikov,Mikhail Nebogatikov,7,4.143,0.962
edgar bijl,Edgar Bijl,7,2.857,0.663
david lowe,David Lowe,7,2.714,0.63
allan rordahl borgstrom,Allan Rördahl Borgström,7,2.571,0.597
daniel middleton,Daniel Middleton,7,2.286,0.531
mohamed abdulla hassan,Mohamed Abdulla Hassan,7,3.143,0.729
nejc kajtazovic,Nejc Kajtazovic,7,5.143,1.194
artem kataykin,Artem Kataykin,7,3.857,0.895
francesco meraviglia,Francesco Meraviglia,7,4.143,0.962
robin gansner,Robin Gansner,7,4.0,0.928
marc edwards,Marc Edwards,7,3.714,0.862
wolfgang haslberger,Wolfgang Haslberger,7,2.857,0.663
gal leibovitz,Gal Leibovitz,7,4.286,0.995
thomas hardeman,Thomas Hardeman,7,3.571,0.829
preston henshuijs,Preston Henshuijs,7,3.286,0.763
james oldham,James Oldham,7,3.143,0.729
boyd van kommer,Boyd van Kommer,7,3.429,0.796
stijn van zuilichem,Stijn van Zuilichem,7,2.714,0.63
jamie robinson,Jamie Robinson,7,4.143,0.962
dmytro osaulenko,Dmytro Osaulenko,7,6.0,1.393
ion orlic,Ion Orlic,7,4.143,0.962
tom owen,Tom Owen,7,3.286,0.763
max burda,Max Burda,7,3.143,0.729
maksim skorochkin,Maksim Skorochkin,7,5.143,1.194
midjan hadzidulbic,Midjan Hadzidulbic,7,2.286,0.531
sayat karabaev,Sayat Karabaev,7,5.286,1.227
joel kennedy,Joel Kennedy,7,4.286,0.995
ruebyn ricardo,Ruebyn Ricardo,7,3.143,0.729
antoni bandic,Antoni Bandic,7,6.429,1.492
oliver reitala,Oliver Reitala,7,4.0,0.928
