ref_norm,referee,club_games,club_cpg,club_ratio
jasper vergoote,Jasper Vergoote,138,3.928,0.912
sebastien delferiere,Sébastien Delferière,137,4.35,1.01
daniel schlager,Daniel Schlager,137,4.409,1.023
ali sansalan,Ali Şansalan,137,4.847,1.125
carlos clos gomez,Carlos Clos Gómez,136,5.434,1.261
rosario abisso,Rosario Abisso,136,4.684,1.087
giannis papadopoulos,Giannis Papadopoulos,136,5.309,1.232
bert put,Bert Put,136,4.125,0.957
atilla karaoglan,Atilla Karaoğlan,136,5.515,1.28
ed janssen,Ed Janssen,135,3.244,0.753
mike jones,Mike Jones,135,3.319,0.77
paolo tagliavento,Paolo Tagliavento,135,5.037,1.169
graham scott,Graham Scott,135,2.933,0.681
aleksey sukhoy,Aleksey Sukhoy,135,4.563,1.059
darren england,Darren England,135,3.867,0.898
joey kooij,Joey Kooij,135,3.519,0.817
johan hamel,Johan Hamel,135,3.859,0.896
yaroslav kozyk,Yaroslav Kozyk,134,5.142,1.193
isidro diaz de mera escuderos,Isidro Díaz de Mera Escuderos,134,5.261,1.221
jeremie pignard,Jérémie Pignard,134,4.455,1.034
frank willenborg,Frank Willenborg,133,4.203,0.976
neil swarbrick,Neil Swarbrick,133,3.383,0.785
sander van der eijk,Sander van der Eijk,133,3.466,0.805
frank schneider,Frank Schneider,132,4.023,0.934
nicola rizzoli,Nicola Rizzoli,131,5.26,1.221
christof dierick,Christof Dierick,131,4.718,1.095
jeremy stinat,Jérémy Stinat,131,3.947,0.916
guido winkmann,Guido Winkmann,129,3.969,0.921
euan anderson,Euan Anderson,129,3.597,0.835
angelos evangelou,Angelos Evangelou,129,4.558,1.058
stephanie frappart,Stéphanie Frappart,127,3.976,0.923
michael johansen,Michael Johansen,126,3.516,0.816
alvarez izquierdo,Álvarez Izquierdo,125,5.896,1.369
carlos velasco carballo,Carlos Velasco Carballo,124,5.613,1.303
tony chapron,Tony Chapron,123,3.813,0.885
aleksey nikolaev,Aleksey Nikolaev,122,3.787,0.879
andrew dallas,Andrew Dallas,122,4.041,0.938
joao capela,João Capela,121,5.669,1.316
anatoliy abdula,Anatoliy Abdula,120,4.967,1.153
bobby madley,Bobby Madley,120,3.392,0.787
istvan kovacs,Istvan Kovacs,120,4.908,1.139
kevin van damme,Kevin Van Damme,120,4.208,0.977
aleksey matyunin,Aleksey Matyunin,119,5.185,1.203
antonio damato,Antonio Damato,119,4.941,1.147
olivier thual,Olivier Thual,118,3.322,0.771
richard liesveld,Richard Liesveld,118,3.186,0.74
alper ulusoy,Alper Ulusoy,118,5.034,1.168
alejandro muniz ruiz,Alejandro Muñiz Ruiz,118,4.992,1.159
gustavo correia,Gustavo Correia,118,5.788,1.344
markus schmidt,Markus Schmidt,117,3.863,0.897
georgios kominis,Georgios Kominis,117,5.504,1.278
eduardo prieto iglesias,Eduardo Prieto Iglesias,117,4.556,1.057
andre narciso,André Narciso,117,5.214,1.21
